lemma,group1,group2,meandiff,p_adj,lower,upper,reject
esimene,F_esimene,M_esimene,-0.7834,1.0,-92.6251,91.0583,False
iga,F_iga,M_iga,-0.3168,1.0,-35.1579,34.5244,False
igasugune,F_igasugune,M_igasugune,-1.9888,1.0,-47.376,43.3983,False
igaüks,F_igaüks,M_igaüks,-0.7879,1.0,-52.3082,50.7323,False
ise,F_ise,M_ise,-9.3017,1.0,-44.3434,25.7401,False
iseenese,F_iseenese,M_iseenese,-2.9647,1.0,-54.3057,48.3764,False
keegi,F_keegi,M_keegi,0.043,1.0,-36.1239,36.2099,False
kes,F_kes,M_kes,-7.4928,1.0,-42.1404,27.1547,False
kumb,F_kumb,M_kumb,-1.1228,1.0,-81.0607,78.8151,False
kumbki,F_kumbki,M_kumbki,-1.7621,1.0,-100.9625,97.4382,False
kõik,F_kõik,M_kõik,-5.1838,1.0,-39.8314,29.4637,False
milline,F_milline,M_milline,-2.9778,1.0,-41.5717,35.6162,False
mina,F_mina,M_mina,-40.84,0.0017,-75.4876,-6.1924,True
mingi,F_mingi,M_mingi,21.2721,0.9947,-13.9108,56.4549,False
mingisugune,F_mingisugune,M_mingisugune,2.2665,1.0,-37.0609,41.594,False
minusugune,F_minusugune,M_minusugune,-1.27,1.0,-193.3706,190.8307,False
mis,F_mis,M_mis,-32.3978,0.1319,-67.0454,2.2498,False
miski,F_miski,M_miski,0.4752,1.0,-34.5666,35.5169,False
missugune,F_missugune,M_missugune,-3.4901,1.0,-99.8383,92.8581,False
mitu,F_mitu,M_mitu,-0.775,1.0,-38.0004,36.4505,False
mitu-mitu,F_mitu-mitu,M_mitu-mitu,0.608,1.0,-153.4152,154.6312,False
muu,F_muu,M_muu,0.4065,1.0,-37.1566,37.9696,False
mõlema,F_mõlema,M_mõlema,0.091,1.0,-47.4719,47.654,False
mõni,F_mõni,M_mõni,-2.0382,1.0,-37.5042,33.4278,False
mõningane,F_mõningane,M_mõningane,-0.2837,1.0,-251.8025,251.2352,False
mõningas,F_mõningas,M_mõningas,0.1105,1.0,-104.0282,104.2492,False
niisugune,F_niisugune,M_niisugune,12.1224,1.0,-26.2754,50.5202,False
oma,F_oma,M_oma,-5.1264,1.0,-39.7739,29.5212,False
omaenese,F_omaenese,M_omaenese,-0.9307,1.0,-120.2365,118.3752,False
palju,F_palju,M_palju,-1.9361,1.0,-41.1485,37.2762,False
sama,F_sama,M_sama,1.0444,1.0,-35.306,37.3949,False
samasugune,F_samasugune,M_samasugune,-0.7775,1.0,-65.7194,64.1644,False
see,F_see,M_see,-56.0114,0.0,-90.659,-21.3638,True
seesama,F_seesama,M_seesama,-1.4935,1.0,-43.3179,40.3309,False
selline,F_selline,M_selline,-20.9164,0.9949,-55.564,13.7311,False
sihuke,F_sihuke,M_sihuke,-0.438,1.0,-111.3474,110.4714,False
sina,F_sina,M_sina,-34.6821,0.0492,-69.3296,-0.0345,True
säärane,F_säärane,M_säärane,-3.4746,1.0,-141.2371,134.2879,False
taoline,F_taoline,M_taoline,0.7137,1.0,-217.108,218.5354,False
teine,F_teine,M_teine,-3.812,1.0,-38.6532,31.0291,False
teineteise,F_teineteise,M_teineteise,-0.9086,1.0,-105.0472,103.2301,False
teistsugune,F_teistsugune,M_teistsugune,-1.0138,1.0,-54.6933,52.6657,False
tema,F_tema,M_tema,-6.7463,1.0,-41.5874,28.0948,False
too,F_too,M_too,-0.2882,1.0,-48.096,47.5196,False
üks,F_üks,M_üks,-4.4636,1.0,-39.1112,30.184,False
üksteise,F_üksteise,M_üksteise,-0.9946,1.0,-78.0062,76.017,False
