failinimi,test_norm,p_norm,sum_m,sum_n,r_rb,p_norm_holm,signif_norm_holm,chi2_stat,p_chi2,cramer_v,signif_chi2
tingiv_sections.csv,Mann–Whitney U,1.5812181939926258e-15,2508,2456,-0.47235341825294597,1.2649745551941007e-14,True,0.5447219983883964,0.4604823386074486,0.010475423045930701,False
intensiivistajad_verbidega_sections.csv,Mann–Whitney U,1.6172640114105015e-16,1432,1366,-0.5057328360270756,1.6172640114105015e-15,True,1.5568263045032167,0.21213051599499191,0.02358827734095783,False
verbid_partiklidena_sections.csv,Mann–Whitney U,0.004296752189744835,666,160,-0.2526058993124861,0.004296752189744835,True,309.97094430992735,2.2159210306087506e-69,0.612590799031477,True
umbisikuline_sections.csv,Mann–Whitney U,6.38810533221332e-14,1588,1354,-0.4791236860202377,4.471673732549324e-13,True,18.611828687967368,1.6022331160743935e-05,0.07953772943575799,True
intensiivistajad_adverbidega_sections.csv,Mann–Whitney U,1.1648578714328582e-16,2429,2521,-0.49749373433583954,1.2813436585761439e-15,True,1.7098989898989898,0.19099847656764116,0.018585858585858588,False
eitused_sections.csv,Mann–Whitney U,8.366448266594818e-13,6420,4848,-0.4035250463821892,4.1832241332974095e-12,True,219.30990415335464,1.2791225143123403e-49,0.1395101171458999,True
intensiivistajad_omadussonadega_sections.csv,Mann–Whitney U,2.27568211063168e-16,2151,2282,-0.4900740740740741,2.048113899568512e-15,True,3.871193322806226,0.04912158412323004,0.029551094067223102,True
esimese_ja_teise_isik_sections.csv,Mann–Whitney U,8.888197727969248e-14,19879,16891,-0.40117763081563984,5.332918636781549e-13,True,242.8105520805004,9.591670755654678e-55,0.08126189828664672,True
kaskiv_sections.csv,Mann–Whitney U,8.616221394036603e-10,1712,1205,-0.377669376693767,2.584866418210981e-09,True,88.12101474117243,6.1570017366728404e-21,0.173808707576277,True
partikkel_sections.csv,Mann–Whitney U,9.234207671621107e-06,8696,4532,-0.2545918367346939,1.8468415343242215e-05,True,1310.7723011793166,5.155336516252356e-287,0.31478681584517687,True
kp_markerid_sections.csv,Mann–Whitney U,5.152959010595872e-10,1558,987,-0.3955000995553196,2.061183604238349e-09,True,128.11041257367387,1.0616930070658147e-29,0.2243614931237721,True
